pos_1_p,pos_1_r,pos_1_n,pos_1_b,pos_1_q,pos_1_k,white_1,pos_2_p,pos_2_r,pos_2_n,pos_2_b,pos_2_q,pos_2_k,white_2,pos_3_p,pos_3_r,pos_3_n,pos_3_b,pos_3_q,pos_3_k,white_3,pos_4_p,pos_4_r,pos_4_n,pos_4_b,pos_4_q,pos_4_k,white_4,pos_5_p,pos_5_r,pos_5_n,pos_5_b,pos_5_q,pos_5_k,white_5,pos_6_p,pos_6_r,pos_6_n,pos_6_b,pos_6_q,pos_6_k,white_6,pos_7_p,pos_7_r,pos_7_n,pos_7_b,pos_7_q,pos_7_k,white_7,pos_8_p,pos_8_r,pos_8_n,pos_8_b,pos_8_q,pos_8_k,white_8,pos_9_p,pos_9_r,pos_9_n,pos_9_b,pos_9_q,pos_9_k,white_9,pos_10_p,pos_10_r,pos_10_n,pos_10_b,pos_10_q,pos_10_k,white_10,pos_11_p,pos_11_r,pos_11_n,pos_11_b,pos_11_q,pos_11_k,white_11,pos_12_p,pos_12_r,pos_12_n,pos_12_b,pos_12_q,pos_12_k,white_12,pos_13_p,pos_13_r,pos_13_n,pos_13_b,pos_13_q,pos_13_k,white_13,pos_14_p,pos_14_r,pos_14_n,pos_14_b,pos_14_q,pos_14_k,white_14,pos_15_p,pos_15_r,pos_15_n,pos_15_b,pos_15_q,pos_15_k,white_15,pos_16_p,pos_16_r,pos_16_n,pos_16_b,pos_16_q,pos_16_k,white_16,pos_17_p,pos_17_r,pos_17_n,pos_17_b,pos_17_q,pos_17_k,white_17,pos_18_p,pos_18_r,pos_18_n,pos_18_b,pos_18_q,pos_18_k,white_18,pos_19_p,pos_19_r,pos_19_n,pos_19_b,pos_19_q,pos_19_k,white_19,pos_20_p,pos_20_r,pos_20_n,pos_20_b,pos_20_q,pos_20_k,white_20,pos_21_p,pos_21_r,pos_21_n,pos_21_b,pos_21_q,pos_21_k,white_21,pos_22_p,pos_22_r,pos_22_n,pos_22_b,pos_22_q,pos_22_k,white_22,pos_23_p,pos_23_r,pos_23_n,pos_23_b,pos_23_q,pos_23_k,white_23,pos_24_p,pos_24_r,pos_24_n,pos_24_b,pos_24_q,pos_24_k,white_24,pos_25_p,pos_25_r,pos_25_n,pos_25_b,pos_25_q,pos_25_k,white_25,pos_26_p,pos_26_r,pos_26_n,pos_26_b,pos_26_q,pos_26_k,white_26,pos_27_p,pos_27_r,pos_27_n,pos_27_b,pos_27_q,pos_27_k,white_27,pos_28_p,pos_28_r,pos_28_n,pos_28_b,pos_28_q,pos_28_k,white_28,pos_29_p,pos_29_r,pos_29_n,pos_29_b,pos_29_q,pos_29_k,white_29,pos_30_p,pos_30_r,pos_30_n,pos_30_b,pos_30_q,pos_30_k,white_30,pos_31_p,pos_31_r,pos_31_n,pos_31_b,pos_31_q,pos_31_k,white_31,pos_32_p,pos_32_r,pos_32_n,pos_32_b,pos_32_q,pos_32_k,white_32,pos_33_p,pos_33_r,pos_33_n,pos_33_b,pos_33_q,pos_33_k,white_33,pos_34_p,pos_34_r,pos_34_n,pos_34_b,pos_34_q,pos_34_k,white_34,pos_35_p,pos_35_r,pos_35_n,pos_35_b,pos_35_q,pos_35_k,white_35,pos_36_p,pos_36_r,pos_36_n,pos_36_b,pos_36_q,pos_36_k,white_36,pos_37_p,pos_37_r,pos_37_n,pos_37_b,pos_37_q,pos_37_k,white_37,pos_38_p,pos_38_r,pos_38_n,pos_38_b,pos_38_q,pos_38_k,white_38,pos_39_p,pos_39_r,pos_39_n,pos_39_b,pos_39_q,pos_39_k,white_39,pos_40_p,pos_40_r,pos_40_n,pos_40_b,pos_40_q,pos_40_k,white_40,pos_41_p,pos_41_r,pos_41_n,pos_41_b,pos_41_q,pos_41_k,white_41,pos_42_p,pos_42_r,pos_42_n,pos_42_b,pos_42_q,pos_42_k,white_42,pos_43_p,pos_43_r,pos_43_n,pos_43_b,pos_43_q,pos_43_k,white_43,pos_44_p,pos_44_r,pos_44_n,pos_44_b,pos_44_q,pos_44_k,white_44,pos_45_p,pos_45_r,pos_45_n,pos_45_b,pos_45_q,pos_45_k,white_45,pos_46_p,pos_46_r,pos_46_n,pos_46_b,pos_46_q,pos_46_k,white_46,pos_47_p,pos_47_r,pos_47_n,pos_47_b,pos_47_q,pos_47_k,white_47,pos_48_p,pos_48_r,pos_48_n,pos_48_b,pos_48_q,pos_48_k,white_48,pos_49_p,pos_49_r,pos_49_n,pos_49_b,pos_49_q,pos_49_k,white_49,pos_50_p,pos_50_r,pos_50_n,pos_50_b,pos_50_q,pos_50_k,white_50,pos_51_p,pos_51_r,pos_51_n,pos_51_b,pos_51_q,pos_51_k,white_51,pos_52_p,pos_52_r,pos_52_n,pos_52_b,pos_52_q,pos_52_k,white_52,pos_53_p,pos_53_r,pos_53_n,pos_53_b,pos_53_q,pos_53_k,white_53,pos_54_p,pos_54_r,pos_54_n,pos_54_b,pos_54_q,pos_54_k,white_54,pos_55_p,pos_55_r,pos_55_n,pos_55_b,pos_55_q,pos_55_k,white_55,pos_56_p,pos_56_r,pos_56_n,pos_56_b,pos_56_q,pos_56_k,white_56,pos_57_p,pos_57_r,pos_57_n,pos_57_b,pos_57_q,pos_57_k,white_57,pos_58_p,pos_58_r,pos_58_n,pos_58_b,pos_58_q,pos_58_k,white_58,pos_59_p,pos_59_r,pos_59_n,pos_59_b,pos_59_q,pos_59_k,white_59,pos_60_p,pos_60_r,pos_60_n,pos_60_b,pos_60_q,pos_60_k,white_60,pos_61_p,pos_61_r,pos_61_n,pos_61_b,pos_61_q,pos_61_k,white_61,pos_62_p,pos_62_r,pos_62_n,pos_62_b,pos_62_q,pos_62_k,white_62,pos_63_p,pos_63_r,pos_63_n,pos_63_b,pos_63_q,pos_63_k,white_63,pos_64_p,pos_64_r,pos_64_n,pos_64_b,pos_64_q,pos_64_k,white_64,from_1,from_2,from_3,from_4,from_5,from_6,from_7,from_8,from_9,from_10,from_11,from_12,from_13,from_14,from_15,from_16,from_17,from_18,from_19,from_20,from_21,from_22,from_23,from_24,from_25,from_26,from_27,from_28,from_29,from_30,from_31,from_32,from_33,from_34,from_35,from_36,from_37,from_38,from_39,from_40,from_41,from_42,from_43,from_44,from_45,from_46,from_47,from_48,from_49,from_50,from_51,from_52,from_53,from_54,from_55,from_56,from_57,from_58,from_59,from_60,from_61,from_62,from_63,from_64,to_1,to_2,to_3,to_4,to_5,to_6,to_7,to_8,to_9,to_10,to_11,to_12,to_13,to_14,to_15,to_16,to_17,to_18,to_19,to_20,to_21,to_22,to_23,to_24,to_25,to_26,to_27,to_28,to_29,to_30,to_31,to_32,to_33,to_34,to_35,to_36,to_37,to_38,to_39,to_40,to_41,to_42,to_43,to_44,to_45,to_46,to_47,to_48,to_49,to_50,to_51,to_52,to_53,to_54,to_55,to_56,to_57,to_58,to_59,to_60,to_61,to_62,to_63,to_64,evaluation
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
